tailNum,year,carrier,model,aircraftType,engineType,manufacturer
N335AA,1987,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N664AW,2001,US,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N57111,1994,CO,757-224,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N352AA,1988,AA,767-323,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N433LV,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N590UA,1997,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N765AS,1992,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N352SW,1990,WN,737-3H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N598JB,2004,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N595UA,1998,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N438WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N3753,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N623JB,2005,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N675DL,1992,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N762AS,1992,AS,737-4Q8,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N595NW,2003,NW,757-351,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N582JB,2003,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N655JB,2007,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N319AA,1985,AA,767-223,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N538UA,1991,UA,757-222,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N965AT,2001,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N635JB,2006,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N509JB,2000,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N5FSAA,NULL,AA,,,,
N663SW,1985,WN,737-3Q8,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N930AT,2000,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N583AA,1991,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N473AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N358NW,1998,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N239WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N475HA,2001,HA,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N338NW,1992,NW,A320-212,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N558JB,2003,B6,A320-232,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N919AT,2001,FL,717-200,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N428UA,1995,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N76514,NULL,CO,NULL,NULL,NULL,NULL
N5FHAA,NULL,AA,,,,
N848UA,2002,UA,A319-131,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N443WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N225WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N5EGAA,NULL,AA,,,,
N353NB,2002,NW,A319-114,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N3757D,2001,DL,737-832,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N427UA,1995,UA,A320-232,Fixed Wing Multi-Engine,Turbo-Jet,AIRBUS INDUSTRIE
N466WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N835AW,NULL,US,A319-132,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N294JB,NULL,B6,NULL,NULL,NULL,NULL
N241WN,2006,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N219AA,1983,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N3DGAA,NULL,AA,,,,
N477AA,1988,AA,DC-9-82(MD-82),Fixed Wing Multi-Engine,Turbo-Fan,MCDONNELL DOUGLAS
N550AA,1964,AA,HST-550,Fixed Wing Single-Engine,Turbo-Prop,HELIO
N934UW,1993,US,757-2B7,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N461WN,2004,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N818NW,2007,NW,A330-323,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS
N434US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N659DL,1990,DL,757-232,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N127DL,1988,DL,767-332,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N441US,1990,US,737-4B7,Fixed Wing Multi-Engine,Turbo-Jet,BOEING
N212WN,2005,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N106US,1999,US,A320-214,Fixed Wing Multi-Engine,Turbo-Fan,AIRBUS INDUSTRIE
N437WN,2003,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
N743SW,1998,WN,737-7H4,Fixed Wing Multi-Engine,Turbo-Fan,BOEING
